label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
а,0.0,0.0,0.0,0.4427553710510399,-0.25619312956447177,-0.11805900474205787,0.6667173799619617,-0.7141826304157357,-0.16662738117138534,0.6683694782313475,-1.1190150837472472,-0.2270269684347309,0.6178280123058985,-1.4154258912803852,-0.2651160303298335,0.44471359590977627,-1.0084350926005397,-0.014856574679992404,0.4627461848145343,-1.2499006792068756,-0.24085813128814534,0.4594637331167375,-0.984128607429798,-0.3827730328652518,0.45973367493165307,-0.743338045242321,-0.4438590903182431,0.1832697667761344,-0.9820513805311949,-0.04457890288685427,0.25737890292388704,-1.171694084528691,-0.2981366331101088,0.30655469090716714,-0.8116567680726426,-0.3908741328290191,0.3133567489746438,-0.5406105530697188,-0.40533058727164095,-0.05792842623883783,-0.9201664974651218,-0.10974452290862574,0.06085276758682842,-1.0593489389276847,-0.3676821556990288,0.11578737091549789,-0.6874881200138623,-0.3568823595827786,0.11178411171569551,-0.43336907453894646,-0.28410556211905946,-0.29504300607134243,-0.82979748659678,-0.18684791728807015,-0.14895504866510184,-0.8756470783779582,-0.36330392540358614,-0.08591947278384267,-0.6221567645940447,-0.3544776222521865,-0.07139782628868852,-0.44883747102436156,-0.3048929505648315
а,0.0,0.0,0.0,0.45083575884460225,-0.26251170048443845,-0.11490329136570268,0.6977892826185083,-0.7059975063696307,-0.1611672998173662,0.7127773186605116,-1.1075707486163204,-0.2203468579076594,0.6460249636088257,-1.4030062028373085,-0.2565464556582889,0.4675245275606168,-1.0048639189040525,-0.0008561315895945873,0.495548454314454,-1.2678363726031743,-0.23212764020384496,0.4949992222035364,-0.9950819437190475,-0.37804714636561054,0.49025042980161965,-0.756940952007719,-0.43922188869201034,0.2118271469865319,-0.9766668590938954,-0.03537097888398318,0.2829074034755317,-1.2042678979097323,-0.29835819500221133,0.32845236153128643,-0.828615147523505,-0.3993248335125366,0.3303698292537099,-0.5556107508835426,-0.41447890560045103,-0.027862947859055756,-0.9133191141732874,-0.10559377733770213,0.07549689180495778,-1.0823897907386952,-0.3711425626821535,0.13170912397287898,-0.7028012168674385,-0.36710155895304175,0.12851844408370452,-0.44709142714940536,-0.29399021882947535,-0.27276981282285734,-0.825814930698019,-0.18686303530777174,-0.15106024902476195,-0.8938845248792315,-0.363509834230168,-0.08543916593165124,-0.6387316167444128,-0.35481865254616707,-0.06765346288826096,-0.4610537539505307,-0.30375619386825936
а,0.0,0.0,0.0,0.4337994778954254,-0.2123114292585386,-0.11360064252487138,0.6984443563082214,-0.6764724494888054,-0.14881773707846221,0.7303524899255182,-1.0897139072044708,-0.19560672314853444,0.6826885020604855,-1.3888091953185169,-0.22189375297283576,0.47828975378739186,-0.9967559492879337,-0.01532445494148639,0.5130724139607005,-1.2909850745893026,-0.2511996800939839,0.48282944362418073,-0.9869803368835817,-0.3847804135239497,0.46576076447748693,-0.7278018586932572,-0.4310894452102611,0.20891212828116942,-0.9768768293504377,-0.04546848287845091,0.26697543148325464,-1.2222847787461828,-0.316578537831196,0.2827748391636575,-0.8268416535012154,-0.41004100449021685,0.2713449962789734,-0.5426508833531032,-0.40994767570593077,-0.0477871818602903,-0.9138674561194151,-0.10996696408267896,0.03652106432861102,-1.1049001003298358,-0.39121285554833896,0.07569799920433508,-0.6957719532336063,-0.38093891187817736,0.0757276866461937,-0.41965207858144304,-0.293890510361497,-0.3070835209724846,-0.817852758306117,-0.18250435067545656,-0.20207708365828128,-0.9274817258637327,-0.38097286577874623,-0.1385936002030852,-0.6479397957877457,-0.3720826768835999,-0.11217764332963437,-0.4460971895894137,-0.3106393828740371
а,0.0,0.0,0.0,0.4317281346210691,-0.12869419521271416,-0.13675485997558368,0.769220217497879,-0.5979587619759966,-0.1714563111376947,0.8404145938006837,-1.032669457653648,-0.20606240268314202,0.8237435532951539,-1.342672519541027,-0.22129798002843165,0.5608432274521611,-0.9583624143066307,-0.06257503203152626,0.59238547731171,-1.2590990808385059,-0.29693020509179446,0.5327528698834053,-0.953486573710342,-0.4221736238862371,0.49043385559735064,-0.6870388178951281,-0.4630832674354832,0.26604566183592426,-0.9605514238065422,-0.08099795084759673,0.3103255727881035,-1.2327747458580518,-0.3524843221954485,0.2937855879489458,-0.8260224024040422,-0.43992416421760183,0.2725898980458549,-0.5338406319142941,-0.433669342604243,-0.008726787894397698,-0.908760883556749,-0.13241373599488065,0.022551641210671696,-1.1159866730316241,-0.41799741161905235,0.03852542758395208,-0.6928455335941558,-0.4099354938118078,0.04780340902010624,-0.4120306579010846,-0.32422948026860826,-0.275141494889396,-0.8162359629695138,-0.191055056881482,-0.24019939513410596,-0.960228533034321,-0.39677313638583245,-0.19306038136178197,-0.6571556567975511,-0.38853291639480986,-0.15233872671948048,-0.43384876725156907,-0.3272096908703045
а,0.0,0.0,0.0,0.4258505309715493,-0.14000717347338446,-0.1261498688552903,0.7541296170932454,-0.6059088378428941,-0.1577105825771146,0.8288892889787648,-1.01181822685284,-0.19327472874126406,0.8196439730253501,-1.3170557223898964,-0.21021924361429356,0.5456236874663786,-0.9653637287846366,-0.04916831107617969,0.591791198407076,-1.2448656394176987,-0.28109174513255364,0.521640604366155,-0.939274300718138,-0.40619650422805265,0.46664106932475835,-0.6721648779132587,-0.4442326024291281,0.24532423185521787,-0.9668541245421082,-0.07077515892289318,0.29558002732243194,-1.2146117641257224,-0.3350816020999451,0.27154300355760763,-0.8098651383153739,-0.41708957453267737,0.24809780764805053,-0.5165443511528915,-0.4063356293577007,-0.03319478110422163,-0.9129966501212897,-0.12522670476975561,0.011244159454323489,-1.1049997752910146,-0.40324420250075066,0.01481791841603952,-0.6871985589877012,-0.38822509870098465,0.01344679990282587,-0.40952075449134845,-0.2982498621884233,-0.2964565631221938,-0.8208489011106566,-0.18640793019205693,-0.2503091849647629,-0.9590040484554434,-0.3833297222320816,-0.214951459182819,-0.6629837589479955,-0.36368860147583015,-0.18973324882238926,-0.4440376516740408,-0.29382129089002185
а,0.0,0.0,0.0,0.4610551833396436,-0.12300379660362182,-0.13528888912351686,0.8067432008331948,-0.5792881871202197,-0.1727171325222872,0.8890708744256453,-1.0184060724085153,-0.21245431913563992,0.8975714876978285,-1.3436080331406366,-0.2350959404929598,0.6302163107835196,-0.9376947298999943,-0.04960432872379964,0.6626173550923584,-1.2468599360422359,-0.282263194925783,0.5921865356145651,-0.9628473122461471,-0.4155792244562077,0.5388164430073551,-0.6961596723250141,-0.4630642625757583,0.32523067200064504,-0.943130037477424,-0.06878039253916494,0.37137364720663735,-1.220114633852716,-0.3331075695188087,0.3390610033824636,-0.8284381531114119,-0.4273159943598528,0.3019930557090529,-0.5381717616950434,-0.4288964835806086,0.03786562982456575,-0.8997386218015939,-0.12140642412253683,0.07781244883725039,-1.130365664016664,-0.40548220798712975,0.0732171347540632,-0.7157632353591894,-0.402188062148847,0.06387123906975149,-0.4345609158597816,-0.3215611534365765,-0.24069799187456728,-0.8200482293349846,-0.18076064398280556,-0.19392931879367536,-0.9689422234399238,-0.38481661135246453,-0.1687060916157603,-0.6737669606657015,-0.37370530321131346,-0.1500874006479176,-0.45564216477330466,-0.3115420068388728
а,0.0,0.0,0.0,0.4440988066213178,-0.11540354736321867,-0.12847680546986998,0.8065964623918244,-0.5566420032902966,-0.166860937852605,0.9200522641956358,-0.9974662899380464,-0.20968286248693882,0.9282142455874376,-1.3314819372188296,-0.23890375877380685,0.6580759620754321,-0.9294009527396316,-0.057676274415223494,0.6623015444132286,-1.2644789809824781,-0.29905011148576977,0.576365472043005,-0.9953701824201361,-0.43937811441031877,0.5320393678158907,-0.7271034840720674,-0.49114102675875,0.34325075503697955,-0.9356628830771104,-0.08193832069534351,0.3675442245495748,-1.2203904067016331,-0.3585568064208005,0.3095275351733284,-0.8221869100794491,-0.4508944051008936,0.2745018594376346,-0.5213727651017617,-0.4487428739288538,0.05727224036210591,-0.8928931655455503,-0.13922680287445996,0.0699859364782484,-1.1181094462906345,-0.42847841187193436,0.041657285616532765,-0.7099819108101584,-0.41798486669008716,0.02821761503762631,-0.43227584780368467,-0.33241350175819767,-0.22168349408390614,-0.8199053029844524,-0.2034226287919334,-0.19753018609119277,-0.9716673330040975,-0.4079743461946116,-0.18889031706939702,-0.6772781845571609,-0.3922975818211551,-0.16953596231255771,-0.4583413661217801,-0.3264855272142236
а,0.0,0.0,0.0,0.4288114836681036,-0.13820640040750512,-0.13625903753983087,0.766414273040558,-0.5953326517645054,-0.17284503913137325,0.8649405946545957,-1.015183134833028,-0.21217856696795204,0.8917582308194578,-1.3392926293504508,-0.23392002618076208,0.5941394519731497,-0.9570819494494925,-0.050252404436059814,0.6055099332408521,-1.264532162788364,-0.29499147028354045,0.531191977248246,-0.9768642861327012,-0.43731756746370687,0.5009391369796418,-0.6997337558857813,-0.4884839022492933,0.28822163805681955,-0.955121349730425,-0.06834833315432902,0.30366620787241316,-1.2069963716730319,-0.34683054946557235,0.2729899681730478,-0.8095840272993351,-0.4427488699958772,0.26348683903935655,-0.5129084339272215,-0.44203755710571163,0.009869010499610718,-0.8983712387624496,-0.1211642269519978,0.009832727033346188,-1.1023116471742378,-0.41134996151232456,0.005585622669221651,-0.697084970524129,-0.4048431265622187,0.014561025866098545,-0.42022716638241386,-0.3197708619580156,-0.25232621100020186,-0.8012617264952198,-0.18192001413070893,-0.24593496612582932,-0.937957700673494,-0.38898180466846205,-0.21600729218848136,-0.6470268971355895,-0.37869107965732507,-0.17839860232404967,-0.4289808065106714,-0.31402591055620865
а,0.0,0.0,0.0,0.44116972878953103,-0.14094160039703552,-0.10831762930927237,0.7770684293799314,-0.5728818173130245,-0.13953948976776334,0.8865303246597366,-0.9945465206381703,-0.1777743480836613,0.9115527654648463,-1.3167045787178313,-0.20086194973963953,0.6291216504125755,-0.9299296472061707,-0.03466301399410059,0.6425781357429503,-1.2488428252605002,-0.252249446947299,0.5371948167139677,-0.9815818041510692,-0.37080570342138947,0.47823400710713976,-0.7250757893078615,-0.40893864020733856,0.32653541459319235,-0.9434480549716566,-0.05727469412096569,0.3412818002118164,-1.1997160385300418,-0.3078683632093557,0.2677591085685324,-0.8191574515355867,-0.38733655641568887,0.2275086230868492,-0.5354555725744304,-0.3805000397549973,0.06055183707223613,-0.8946524539765087,-0.11078777933467578,0.07106113944870325,-1.1036771399167247,-0.36829111998682645,0.04529265064622617,-0.718950523124515,-0.36227548178809005,0.033000957010712796,-0.45103651820226415,-0.2861131658163104,-0.18835279266434019,-0.8025801115819837,-0.1695473297441498,-0.16367372349649437,-0.9693431868885084,-0.34871895922927215,-0.16545710768088498,-0.6981673319441317,-0.33487308919851705,-0.15400416516352505,-0.487943733783585,-0.27391352087351517
а,0.0,0.0,0.0,0.4325251182546325,-0.13241140208217225,-0.12756919913944972,0.7845569396217184,-0.5692505538431921,-0.1633175236827952,0.8990232783100912,-0.9914360545672116,-0.2030454076864645,0.906395519883493,-1.3123898841292352,-0.22464138995433192,0.6158278919044297,-0.9442056819133993,-0.04277092625351213,0.6215096370563105,-1.2718223506951956,-0.27765763837015617,0.5429800928339982,-1.0063909892755074,-0.40828228076876977,0.5094118171523975,-0.7341553551737351,-0.4534325891679249,0.31322438356468685,-0.947261789040866,-0.067716973969751,0.321333205603312,-1.2377836433582963,-0.3503179397611739,0.2885555090033925,-0.846466934501407,-0.45009906861849086,0.2785067598480197,-0.5459528328921821,-0.4485831289827873,0.037765103581736244,-0.8994306370781202,-0.1255601868722589,0.024969755925016806,-1.10310054451422,-0.4219241282598099,0.026812056404062777,-0.691831704482943,-0.42619842271815844,0.04440496656900971,-0.4114760731321858,-0.3451551266775525,-0.22642196521567004,-0.8079988207863675,-0.18957237292311682,-0.2256795736410596,-0.946811204559166,-0.3987715062401092,-0.20156311207826214,-0.6560526145854775,-0.3954240390281464,-0.16322543541854026,-0.4397164555227327,-0.3350969679950569
